Mach,alpha_max_valid,distance_tol,mapping_kind,mapping_scale,cubic_delta,xi_max
1.1,0.24,0.02,pin,3.0,0.2,0.99
1.2000000000000002,0.24,0.02,pin,3.0,0.2,0.99
1.3,0.24,0.02,pin,3.0,0.2,0.99
1.4000000000000001,0.22499999999999998,0.02,pin,3.0,0.2,0.99
1.5,0.195,0.02,pin,3.0,0.2,0.99
1.6,0.18,0.02,pin,3.0,0.2,0.99
1.7000000000000002,,0.02,pin,3.0,0.2,0.99
1.8,,0.02,pin,3.0,0.2,0.99
1.9,,0.02,pin,3.0,0.2,0.99
2.0,,0.02,pin,3.0,0.2,0.99
