shooting_cr,shooting_ci,shooting_omega_i,rank_by_growth,mapping_kind,mapping_scale,cubic_delta,xi_max,cr,ci,omega_i,distance_to_shooting
0.2579166666666666,0.04337239583333333,0.010409374999999998,48,cubic,5.0,0.2,0.98,0.2555149760981447,7.128805399816755e-14,1.710913295956021e-14,0.08677803292801463
0.2579166666666666,0.04337239583333333,0.010409374999999998,45,cubic,5.0,0.2,0.98,0.2701362034082531,8.052546726485366e-14,1.932611214356488e-14,0.0876012326365585
0.2579166666666666,0.04337239583333333,0.010409374999999998,53,cubic,5.0,0.2,0.98,0.24138855685379815,5.74088700381967e-14,1.3778128809167207e-14,0.08830536390989917
0.2579166666666666,0.04337239583333333,0.010409374999999998,47,cubic,5.0,0.2,0.98,0.2852454445404315,7.879859830285481e-14,1.8911663592685153e-14,0.09094790256701712
0.2579166666666666,0.04337239583333333,0.010409374999999998,50,cubic,5.0,0.2,0.98,0.2277615424220209,6.844215048809395e-14,1.6426116117142548e-14,0.0918367595218803
0.2579166666666666,0.04337239583333333,0.010409374999999998,42,cubic,5.0,0.2,0.98,0.30083359692035727,9.010859634096867e-14,2.162606312183248e-14,0.09678079243146484
0.2579166666666666,0.04337239583333333,0.010409374999999998,71,cubic,5.0,0.2,0.98,0.21463645872819304,3.796370708622087e-14,9.111289700693008e-15,0.09694243281699579
0.2579166666666666,0.04337239583333333,0.010409374999999998,61,cubic,5.0,0.2,0.98,0.20201389777223974,4.69441389910816e-14,1.1266593357859584e-14,0.10319776379040785
0.2579166666666666,0.04337239583333333,0.010409374999999998,43,cubic,5.0,0.2,0.98,0.31688916163557385,8.631021449081334e-14,2.07144514777952e-14,0.10489239268946647
0.2579166666666666,0.04337239583333333,0.010409374999999998,56,cubic,5.0,0.2,0.98,0.18989265950775375,5.46367809793178e-14,1.3112827435036272e-14,0.11023576747694132
0.2579166666666666,0.04337239583333333,0.010409374999999998,36,cubic,5.0,0.2,0.98,0.33339818647403374,1.0918790006879929e-13,2.6205096016511826e-14,0.11498747198580143
0.2579166666666666,0.04337239583333333,0.010409374999999998,72,cubic,5.0,0.2,0.98,0.1782698952031632,3.568504907524922e-14,8.564411778059812e-15,0.11776360679700908
0.2579166666666666,0.04337239583333333,0.010409374999999998,60,cubic,5.0,0.2,0.98,0.16714124909874786,4.833664352379139e-14,1.1600794445709933e-14,0.1255580953818058
0.2579166666666666,0.04337239583333333,0.010409374999999998,38,cubic,5.0,0.2,0.98,0.35034424840113093,1.0492029493218102e-13,2.5180870783723443e-14,0.12675770882489976
0.2579166666666666,0.04337239583333333,0.010409374999999998,105,cubic,5.0,0.2,0.98,0.1565009959352864,1.0555013518314242e-14,2.533203244395418e-15,0.13345335196684072
0.2579166666666666,0.04337239583333333,0.010409374999999998,32,cubic,5.0,0.2,0.98,0.3677084850571358,1.2026798693938627e-13,2.8864316865452706e-14,0.1399246306650028
0.2579166666666666,0.04337239583333333,0.010409374999999998,99,cubic,5.0,0.2,0.98,0.14634217298421853,1.3570966392889336e-14,3.2570319342934406e-15,0.1413277273636824
0.2579166666666666,0.04337239583333333,0.010409374999999998,84,cubic,5.0,0.2,0.98,0.13665670495797602,2.5335132050697388e-14,6.080431692167373e-15,0.14909271341979702
0.2579166666666666,0.04337239583333333,0.010409374999999998,31,cubic,5.0,0.2,0.98,0.3854696832260179,1.2247503211827028e-13,2.939400770838487e-14,0.1542544356400847
0.2579166666666666,0.04337239583333333,0.010409374999999998,62,cubic,5.0,0.2,0.98,0.12743552138929373,4.503876173811526e-14,1.0809302817147663e-14,0.1566843583583654
