alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.18,1.2,241,0.22436056518672692,0.10544447628860151,0.01898000573194827,0.06356672583144421,0.06356672583144421,nearest_to_target,96,True,False,0.22874999999999995,0.07373697916666667,shooting_anchor,0.22874999999999995,0.07373697916666667,0.01327265625,True
0.18,1.2,301,0.21977097398266357,0.09266588512678897,0.016679859322822014,0.03890805612734485,0.03890805612734485,nearest_to_target,116,True,False,0.22874999999999995,0.07373697916666667,shooting_anchor,0.22874999999999995,0.07373697916666667,0.01327265625,True
0.18,1.2,361,0.2192669919189121,0.08335912039167874,0.015004641670502172,0.021453900561023493,0.021453900561023493,nearest_to_target,133,True,False,0.22874999999999995,0.07373697916666667,shooting_anchor,0.22874999999999995,0.07373697916666667,0.01327265625,True
0.18,1.2,401,0.2276378635200025,0.08117402299600691,0.014611324139281245,0.01491560696814756,0.01491560696814756,nearest_to_target,148,True,True,0.22874999999999995,0.07373697916666667,shooting_anchor,0.22874999999999995,0.07373697916666667,0.01327265625,True
0.195,1.2,241,0.2138654622638998,0.10103575930276447,0.019701973064039074,0.06110393294302769,0.07381298918318117,nearest_to_target,89,True,False,0.23330514540800096,0.07207117169840277,blended_continuation,0.23708333333333326,0.06600260416666666,0.0128705078125,True
0.195,1.2,301,0.2479443370176759,0.08972765330073473,0.017496892393643274,0.03822710165940815,0.04867723519970174,nearest_to_target,106,True,False,0.23330514540800096,0.07207117169840277,blended_continuation,0.23708333333333326,0.06600260416666666,0.0128705078125,True
0.195,1.2,361,0.2410820351156818,0.08135754698905157,0.015864721662865056,0.020135219831939315,0.030969124822296745,nearest_to_target,126,True,False,0.23330514540800096,0.07207117169840277,blended_continuation,0.23708333333333326,0.06600260416666666,0.0128705078125,True
0.195,1.2,401,0.22142622813213142,0.07443501266937688,0.014514827470528492,0.01278513403102115,0.023012322696933925,nearest_to_target,136,True,False,0.23330514540800096,0.07207117169840277,blended_continuation,0.23708333333333326,0.06600260416666666,0.0128705078125,True
0.195,1.2,481,0.23743494431232942,0.0711752645089204,0.013879176579239478,0.004501759407038254,0.01035129413869825,nearest_to_target,159,True,True,0.23330514540800096,0.07207117169840277,blended_continuation,0.23708333333333326,0.06600260416666666,0.0128705078125,True
0.21,1.2,241,0.2515070159453998,0.09980723349158953,0.0209595190332338,0.07306652851858719,0.08279509396133003,nearest_to_target,92,True,False,0.24172397772493173,0.06360291830356817,blended_continuation,0.2445833333333333,0.05855468750000001,0.012296484375000001,True
