Mach,alpha,cr,ci,omega_i,selection_source,n_finite_modes,success
1.1,0.18,0.1552843388418302,0.09827252630316503,0.017689054734569706,moderate_cr,231,True
1.1,0.19333333333333333,0.15149518461272882,0.08927877127528343,0.017260562446554797,target_guided,212,True
1.1,0.20666666666666667,0.1432317115970229,0.08256532749469069,0.01706350101556941,target_guided,218,True
1.1,0.22,0.13470982264590303,0.07808416512566947,0.017178516327647286,target_guided,216,True
