alpha,Mach,cr,ci,omega_i,n_finite_modes,selection_source,success
0.18,1.1,0.1552843388418302,0.09827252630316503,0.017689054734569706,231,moderate_cr,True
0.19333333333333333,1.1,0.1803591906389087,0.09207240947870944,0.01780066583255049,212,moderate_cr,True
0.20666666666666667,1.1,0.1778375069902804,0.0909882053885736,0.018804229113638545,218,moderate_cr,True
0.22,1.1,0.1735209702853073,0.08664540291475735,0.019061988641246617,216,moderate_cr,True
0.18,1.1333333333333333,0.18645911208590749,0.09659179208878597,0.017386522575981476,230,moderate_cr,True
0.19333333333333333,1.1333333333333333,0.1823665039183282,0.09174186051936667,0.01773675970041089,213,moderate_cr,True
0.20666666666666667,1.1333333333333333,0.2103398871164902,0.08976074004259152,0.01855055294213558,213,moderate_cr,True
0.22,1.1333333333333333,0.2048146195189227,0.08746377628992896,0.01924203078378437,220,moderate_cr,True
0.18,1.1666666666666667,0.22003752466747528,0.09320276264962808,0.016776497276933054,226,moderate_cr,True
0.19333333333333333,1.1666666666666667,0.214702611077003,0.09193620788652195,0.017774333524727577,214,moderate_cr,True
0.20666666666666667,1.1666666666666667,0.20773251214792443,0.08807648749062584,0.018202474081396008,216,moderate_cr,True
0.22,1.1666666666666667,0.2377389592599899,0.0868561147696073,0.019108345249313607,214,moderate_cr,True
0.18,1.2,0.21977097398266357,0.09266588512678897,0.016679859322822014,237,moderate_cr,True
0.19333333333333333,1.2,0.2488406220395755,0.08976975404218297,0.017355485781488707,213,moderate_cr,True
0.20666666666666667,1.2,0.24132285103563894,0.08839814191346607,0.018268949328782987,212,moderate_cr,True
0.22,1.2,0.23327441132781573,0.08537473161993613,0.018782440956385947,219,moderate_cr,True
