alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.21,1.2,481,0.25361134045375916,0.06637940471206696,0.013939674989534061,0.018066812401797052,0.018066812401797052,,nearest_to_target,158,True,True,0.2445833333333333,0.05855468750000001,shooting_anchor,0.2445833333333333,0.05855468750000001,0.012296484375000001,True
0.22,1.2,481,0.22561165655519042,0.062000298557324494,0.013640065682611389,0.026882731799538248,0.0295060899163853,0.9991212403850623,target_plus_overlap,165,True,False,0.250791735469461,0.05729272766362009,blended_continuation,0.24958333333333324,0.05339843750000001,0.011747656250000002,True
0.22999999999999998,1.2,481,0.21919303225258988,0.059985466653009294,0.013796657330192136,0.030232795577086156,0.04178280077923866,0.9568478898977149,target_plus_overlap,164,True,False,0.24530849696655704,0.05236962081719736,blended_continuation,0.2537499999999999,0.04824218750000002,0.011095703125000004,True
0.24,1.2,481,0.2126598521099135,0.05821114403334594,0.013970674568003025,0.03898847911399559,0.05411961803632627,0.9882259634546057,target_plus_overlap,165,True,False,0.2462995763424436,0.048356317079236114,blended_continuation,0.2579166666666666,0.04337239583333333,0.010409374999999998,True
