alpha,mach,ci_reference,ci_pinn,ci_abs_err
0.05,0.0,0.9146538208662657,0.92199844,0.007344620353064157
0.060833333333333336,0.0,0.8972288884807231,0.90644246,0.009213574917256606
0.07166666666666667,0.0,0.8800349047028136,0.8909381,0.01090319849619148
0.08249999999999999,0.0,0.8630718695325372,0.87549204,0.012420166810083622
0.09333333333333332,0.0,0.8465808991633229,0.86011064,0.013529741362494963
0.10416666666666666,0.0,0.8302910449276344,0.8448008,0.01450972535511097
0.11499999999999999,0.0,0.8142023068254715,0.82956946,0.01536715213601536
0.12583333333333332,0.0,0.7985374792586054,0.8144234,0.01588590302365167
0.13666666666666666,0.0,0.7830666979140096,0.79936945,0.016302756469840474
0.1475,0.0,0.7677899627916842,0.7844149,0.01662492463659948
0.15833333333333333,0.0,0.7528870195812838,0.7695663,0.01667927794984414
0.16916666666666666,0.0,0.7381567294569036,0.7548304,0.01667369056033885
0.18,0.0,0.7235990924185437,0.7402138,0.01661471897900879
0.1908333333333333,0.0,0.7093865070869096,0.7257229,0.016336401886784202
0.20166666666666666,0.0,0.6953492319953477,0.71136373,0.016014500819441113
0.21249999999999997,0.0,0.6814872671438582,0.69714195,0.015654678218232854
0.22333333333333333,0.0,0.6679010337046156,0.68306357,0.01516253298010728
0.23416666666666663,0.0,0.6544763893931547,0.66913307,0.014656677737887813
0.245,0.0,0.6412133342094752,0.6553556,0.01414223849102525
0.2558333333333333,0.0,0.628225424350875,0.6417352,0.013509771762711398
0.26666666666666666,0.0,0.6153700319704366,0.6282752,0.012905183655326335
0.27749999999999997,0.0,0.6026471570681601,0.61497927,0.01233211005220125
0.28833333333333333,0.0,0.5901962935756825,0.6018499,0.011653620021424449
0.29916666666666664,0.0,0.5778711179948788,0.58888894,0.011017825200464237
0.30999999999999994,0.0,0.5656716303257492,0.5760981,0.01042645412401888
0.3208333333333333,0.0,0.553721746827417,0.563478,0.009756246184057571
0.3316666666666666,0.0,0.5418790534723714,0.55102926,0.009150211454538981
0.34249999999999997,0.0,0.5301435502606121,0.53875154,0.00860799230759468
0.3533333333333333,0.0,0.5186284572248487,0.5266441,0.008015653454777727
0.36416666666666664,0.0,0.5072229404063948,0.5147058,0.007482836761879108
0.37499999999999994,0.0,0.4959269998052504,0.5029349,0.007007873298845058
0.3858333333333333,0.0,0.4848422609213269,0.49132928,0.006487021600874665
0.3966666666666666,0.0,0.47384814499292127,0.47988665,0.006038506046202263
0.4074999999999999,0.0,0.4629446520200335,0.46860415,0.005659495414201132
0.4183333333333333,0.0,0.4522231105087502,0.45747903,0.00525591938512493
0.4291666666666666,0.0,0.4416111933075653,0.44650793,0.004896737448049915
0.43999999999999995,0.0,0.4311089004164787,0.43568793,0.00457902897538226
0.45083333333333325,0.0,0.42076027307202063,0.42501563,0.004255355265839478
0.4616666666666666,0.0,0.41049938668307495,0.41448778,0.0039883924573974605
0.4724999999999999,0.0,0.40032624124964183,0.40410128,0.0037750411085277213
0.4833333333333333,0.0,0.39029266958275555,0.3938531,0.003560428571312446
0.4941666666666666,0.0,0.38035037202918537,0.3837404,0.003390023278355525
0.505,0.0,0.3704993485889311,0.37376085,0.00326150064851094
0.5158333333333333,0.0,0.36080656614738055,0.3639118,0.00310524138969831
0.5266666666666666,0.0,0.35116659641281867,0.35419142,0.0030248260496447132
0.5375,0.0,0.34157943938524554,0.344598,0.00301855589597394
0.5483333333333333,0.0,0.33216853354961257,0.3351303,0.0029617705485167067
0.5591666666666667,0.0,0.32282003368272427,0.32578743,0.0029673913584744582
0.57,0.0,0.31353393978458066,0.31656867,0.0030347328724322775
0.5808333333333333,0.0,0.3043704354513419,0.30747408,0.003103641296552384
0.5916666666666667,0.0,0.2952739238174669,0.29850367,0.00322974329869824
0.6024999999999999,0.0,0.28624440488295577,0.28965804,0.0034136349253175435
0.6133333333333333,0.0,0.2773439908752127,0.28093827,0.0035942768326119867
0.6241666666666666,0.0,0.2685037798705779,0.27234554,0.003841763037136958
0.635,0.0,0.2597237718690511,0.2638816,0.004157822073591111
0.6458333333333333,0.0,0.2510299408720369,0.2555483,0.004518357486880342
0.6566666666666666,0.0,0.2424013837002316,0.24734786,0.0049464778281650135
0.6675,0.0,0.23383810035363525,0.23928292,0.00544482060297638
0.6783333333333333,0.0,0.22539925762175234,0.23135626,0.005957005538953231
0.6891666666666666,0.0,0.2170011401619383,0.22357062,0.006569474891238575
0.7,0.0,0.20864374797419302,0.21592933,0.007285581421101167
0.05,0.029166666666666664,0.9133526047483934,0.9170454,0.0036928096993910087
0.060833333333333336,0.029166666666666664,0.8959407410930231,0.90141517,0.00547442814602106
0.07166666666666667,0.029166666666666664,0.8787744628042626,0.88584185,0.007067383661801818
0.08249999999999999,0.029166666666666664,0.8618537698821123,0.8703313,0.00847751750192094
0.09333333333333332,0.029166666666666664,0.8453676850421712,0.85489035,0.009522661484928419
0.10416666666666666,0.029166666666666664,0.8290986514857345,0.83952546,0.010426809711164942
0.11499999999999999,0.029166666666666664,0.8130466692128021,0.82424337,0.011196697505490127
0.12583333333333332,0.029166666666666664,0.7974099438931856,0.809051,0.011641033336886375
0.13666666666666666,0.029166666666666664,0.7819638268861442,0.7939552,0.011991379984888528
0.1475,0.029166666666666664,0.7667083181916774,0.7789626,0.012254293960422213
0.15833333333333333,0.029166666666666664,0.7518273664829902,0.7640797,0.012252323496563022
0.16916666666666666,0.029166666666666664,0.7371207118127769,0.74931324,0.012192523470121008
0.18,0.029166666666666664,0.7225883541810374,0.7346695,0.01208115236879781
0.1908333333333333,0.029166666666666664,0.7083892576833821,0.72015464,0.011765385375394732
0.20166666666666666,0.029166666666666664,0.6943666047483104,0.705775,0.01140841775840351
0.21249999999999997,0.029166666666666664,0.6805203953758223,0.69153553,0.011015137098695504
0.22333333333333333,0.029166666666666664,0.666960913271978,0.677442,0.01048110094539867
0.23416666666666663,0.029166666666666664,0.6535550838572626,0.66349924,0.009944152249609983
0.245,0.029166666666666664,0.6403029071316763,0.6497117,0.009408820964332043
0.2558333333333333,0.029166666666666664,0.6273305179255506,0.63608336,0.008752846561143723
0.26666666666666666,0.029166666666666664,0.6144942089928976,0.62261754,0.008123333750785222
0.27749999999999997,0.029166666666666664,0.6017939803337177,0.60931766,0.0075236799980084035
0.28833333333333333,0.029166666666666664,0.58934701000571,0.59618604,0.006839031826260222
0.29916666666666664,0.029166666666666664,0.57702987876302,0.5832244,0.006194537016093737
0.30999999999999994,0.029166666666666664,0.5648425866056477,0.5704342,0.005591626078983669
0.3208333333333333,0.029166666666666664,0.5528980562474157,0.5578164,0.00491832997542363
0.3316666666666666,0.029166666666666664,0.5410674589277586,0.5453711,0.00430365627991347
0.34249999999999997,0.029166666666666664,0.5293507946466766,0.5330981,0.0037473069692292027
0.3533333333333333,0.029166666666666664,0.5178465950341431,0.5209964,0.003149796739080779
0.36416666666666664,0.029166666666666664,0.5064528568031141,0.50906503,0.002612175202195921
0.37499999999999994,0.029166666666666664,0.4951695799535899,0.4973023,0.0021327138238759202
0.3858333333333333,0.029166666666666664,0.4840878491233244,0.48570603,0.0016181821991548273
0.3966666666666666,0.029166666666666664,0.47310790300004385,0.47427407,0.00116616607077219
0.4074999999999999,0.029166666666666664,0.46222974158374797,0.46300355,0.0007738044157790114
0.4183333333333333,0.029166666666666664,0.45152233574598144,0.4518918,0.0003694739559381155
0.4291666666666666,0.029166666666666664,0.44091302236652585,0.44093573,2.2708567617213404e-05
0.43999999999999995,0.029166666666666664,0.4304018014453811,0.4301324,0.000269412376777578
0.45083333333333325,0.029166666666666664,0.42006685594772875,0.41947868,0.0005881712839561626
0.4616666666666666,0.029166666666666664,0.4098189416418436,0.40897143,0.0008475127706888408
0.4724999999999999,0.029166666666666664,0.39965805852772585,0.39860782,0.001050238255280167
0.4833333333333333,0.029166666666666664,0.38964382329496045,0.38838497,0.001258855252586788
0.4941666666666666,0.029166666666666664,0.37971042856898485,0.37830022,0.0014102087947386321
0.505,0.029166666666666664,0.3698578743497989,0.36835113,0.001506742672171324
0.5158333333333333,0.029166666666666664,0.3601609772287111,0.3585358,0.0016251808248262112
0.5266666666666666,0.029166666666666664,0.35053229372500405,0.34885213,0.0016801659345530018
0.5375,0.029166666666666664,0.34097182383867775,0.33929873,0.0016730987105039175
0.5483333333333333,0.029166666666666664,0.3315590928414198,0.3298745,0.0016846071102949445
0.5591666666666667,0.029166666666666664,0.32220757053523763,0.32057837,0.0016292040172170008
0.57,0.029166666666666664,0.31291725692013117,0.31141007,0.0015071874544939634
0.5808333333333333,0.029166666666666664,0.3037778973760883,0.30236936,0.0014085412206927828
0.5916666666666667,0.029166666666666664,0.2946921149908661,0.29345652,0.0012355903803467072
