alpha,ci_classic_gep,ci_hybrid_8pt,ci_physics_only,amp_rel_hybrid_8pt,amp_rel_physics_only,phase_rmse_hybrid_8pt,phase_rmse_physics_only
0.05,0.7373277142191914,0.7337384819984436,0.2377726137638092,0.1820016708827514,0.3091857932220809,0.1844549306925804,0.4869071509003543
0.1,0.6704524577922079,0.6718112826347351,0.2334296405315399,0.2759311366761138,0.3675558310003039,0.2436528040744221,0.5458991393091551
0.15,0.6087106028348551,0.6119585633277893,0.228904902935028,0.2921534677338936,0.3662914765292668,0.2568774742234316,0.4668700483927945
0.2,0.5512525140722014,0.5544378161430359,0.2242299318313598,0.2871011870636905,0.3527718267759057,0.2593122246929314,0.4069593066367391
0.25,0.497417481831794,0.4994808435440063,0.2194414436817169,0.2772028571813749,0.3386442518602265,0.2617698579652365,0.3556815105714095
0.3,0.4466821348792524,0.4472803473472595,0.2145802676677703,0.2696944116287121,0.3290706242753222,0.261647916140252,0.3146215461457655
0.35,0.398624351838005,0.3979684710502624,0.209689974784851,0.2689319161284614,0.3274504441250728,0.2590957957499426,0.2804509310647529
0.3999999999999999,0.3528983788533735,0.3515829145908355,0.2048154026269912,0.2781943898559447,0.3368116680289953,0.2524681977625432,0.2528156300061721
0.4499999999999999,0.3092172026300068,0.3080094754695892,0.2000010162591934,0.0315584978373486,0.0833912577652209,0.1535521517635074,0.0448743013018479
0.4999999999999999,0.2673397679464638,0.2668863236904144,0.1952890902757644,0.0308201551973814,0.0714510631184256,0.1338412474967843,0.0363812229203862
0.5499999999999999,0.2270615170772097,0.22745943069458,0.1907183229923248,0.0269984402087085,0.0553134457908506,0.1142649172210813,0.0463107276353822
0.6,0.1882072606088794,0.1884349137544632,0.1863224953413009,0.0230905170807622,0.0400613329144006,0.0940164995472245,0.0549244106130864
0.65,0.1506257182958774,0.1481500715017318,0.1821298152208328,0.0202872372741507,0.0289566515121915,0.073303887417829,0.0616518428206945
0.7,0.1141852781418014,0.1061156466603279,0.1781620979309082,0.0174826194516986,0.0227881560348365,0.0545541273365962,0.0669496604637529
0.75,0.0787706586720685,0.0666834339499473,0.1744349300861358,0.0131296452091582,0.0191325331233484,0.0372980825795982,0.0705348873980617
0.7999999999999999,0.0442802506752769,0.0383575484156608,0.1709578484296798,0.0092755301506462,0.0146015089097881,0.0201824573654455,0.0702426572418878
