alpha,ci_reference,omega_i_reference,ci_pinn,ci_abs_err
0.05,0.9146538208662657,0.04573269104331329,0.87808317,0.036570651405969046
0.06125,0.8964813397375626,0.05490948205892571,0.86525,0.031231348320631458
0.07250000000000001,0.8786369002656503,0.06370117526925966,0.85240316,0.026233736355738224
0.08375,0.8611366305043582,0.07212019280474,0.839545,0.021591618983972438
0.095,0.8439820955219093,0.08017829907458138,0.82667804,0.017304057878476664
0.10625,0.8271134304222464,0.08788080198236367,0.81380486,0.013308565538823536
0.11750000000000001,0.8105546888172419,0.09524017593602593,0.8009279,0.009626811391094448
0.12875,0.7942893240555312,0.10226475047214964,0.78804934,0.006239983807423299
0.14,0.7783081678687538,0.10896314350162555,0.7751722,0.003135993891855593
0.15125,0.7625789375394181,0.11534006430283698,0.76229876,0.00028017474110875185
0.16249999999999998,0.7471494959836674,0.12141179309734594,0.7494318,0.002282292937688779
0.17375000000000002,0.7319485901078184,0.12717606753123345,0.736574,0.0046254040518800554
0.185,0.7169955968132724,0.1326441854104554,0.7237279,0.006732285095144341
0.19624999999999998,0.7022802144210926,0.1378224920801394,0.71089613,0.008615919955433315
0.20750000000000002,0.6878370076101605,0.1427261790791083,0.6980817,0.01024466458145934
0.21875,0.6735816888329894,0.14734599443221644,0.68528706,0.01170536952043466
0.22999999999999998,0.6595525547897498,0.15169708760164244,0.67251503,0.01296247988584831
0.24125000000000002,0.6457573815690929,0.15578896830354366,0.65976834,0.014010961402708855
0.2525,0.632170308637544,0.15962300293097986,0.6470498,0.01487947602279538
0.26375,0.6187465230616973,0.16319439545752265,0.6343623,0.015615757307107625
0.27499999999999997,0.6055722906176308,0.16653237991984846,0.6217086,0.016136281293227306
0.28625,0.5925538068290397,0.1696185272048126,0.60909146,0.01653765387576378
0.2975,0.5797116624654006,0.17246421958345667,0.59651375,0.01680208570354469
0.30874999999999997,0.5670683655860553,0.17508235787469456,0.58397853,0.016910168158756678
0.32,0.5545918286405328,0.1774693851649705,0.57148856,0.01689673060553043
0.33125,0.5422939926461002,0.1796348850640207,0.5590468,0.016752812258837513
0.34249999999999997,0.530143550260612,0.1815741659642596,0.5466563,0.016512760297707096
0.35374999999999995,0.5181344282387629,0.18329005398946235,0.53432006,0.016185628199683166
0.365,0.506316591466383,0.1848055558852298,0.52204096,0.015724371706529627
0.37625,0.49463282082571086,0.1861055988356737,0.5098225,0.015189667005404861
0.38749999999999996,0.4830833665096226,0.18719480452247872,0.49766746,0.01458409512405967
0.39875,0.471723994038367,0.18809994262279883,0.48557937,0.013855377413964531
0.41,0.4604697126415534,0.18879258218303688,0.47356147,0.01309175309865046
0.42124999999999996,0.4493439999734905,0.18928615998883286,0.46161717,0.012273171790883275
0.4325,0.4383601353070921,0.18959075852031734,0.44975,0.011389870891790943
0.44375,0.427504611395844,0.18970517130690576,0.4379637,0.010459082938186148
0.45499999999999996,0.4167736055559296,0.18963199052794796,0.42626193,0.00948832610186151
0.46625,0.4061379074084061,0.18936179932916936,0.41464856,0.008510655261347921
0.4775,0.3956631750406597,0.18892916608191498,0.40312782,0.0074646442590382
0.48874999999999996,0.38527588374931226,0.18830358818247636,0.3917037,0.006427811309510367
0.49999999999999994,0.37500407518626816,0.18750203759313405,0.38038075,0.0053766745161854534
0.51125,0.3648551224868527,0.18653218137140343,0.36916342,0.004308301289773886
0.5225,0.35479428388539874,0.18538001333012083,0.35805666,0.0032623805814591678
0.53375,0.3448663024545012,0.18407238893508998,0.3470653,0.0021989972948732173
0.545,0.33505420921013535,0.18260454401952378,0.33619457,0.0011403656227809145
0.55625,0.3252789369057447,0.18093640865382052,0.32544988,0.0001709470320909734
0.5675,0.315647260420673,0.17912982028873192,0.31483683,0.0008104305199314044
0.57875,0.3061250739381484,0.1771698865417034,0.3043611,0.0017639689729384567
0.5900000000000001,0.29664269204558336,0.1750191883068942,0.29402903,0.00261366482199632
0.6012500000000001,0.2872807933301069,0.1727275769897268,0.28384644,0.0034343553990461295
0.6125,0.2780217236671993,0.17028830574615958,0.27381992,0.004201800266320388
0.62375,0.2688254262393685,0.16767985961680612,0.26395586,0.004869564909336155
0.635,0.25972377186905116,0.16492459513684748,0.25426096,0.005462814627992807
0.64625,0.2506813712259589,0.16200283615477595,0.24474172,0.005939648284560284
0.6575,0.24174935145334214,0.15895019858057247,0.23540504,0.006344308685817424
0.6687500000000001,0.2328675593015139,0.15573018028288743,0.2262575,0.006610056268829573
