alpha,ci_classic_gep,ci_hybrid_8pt,ci_physics_only,amp_rel_hybrid_8pt,amp_rel_physics_only,phase_rmse_hybrid_8pt,phase_rmse_physics_only
0.05,0.7373277142191914,0.7337384819984436,0.2377726137638092,0.1820016708827514,0.30918579322208095,0.18445493069258045,0.48690715090035436
0.1,0.6704524577922079,0.6718112826347351,0.23342964053153992,0.27593113667611385,0.3675558310003039,0.24365280407442216,0.5458991393091551
0.15,0.6087106028348551,0.6119585633277893,0.22890490293502808,0.2921534677338936,0.3662914765292668,0.25687747422343166,0.4668700483927945
0.2,0.5512525140722014,0.5544378161430359,0.22422993183135986,0.28710118706369053,0.35277182677590574,0.2593122246929314,0.4069593066367391
0.25,0.497417481831794,0.49948084354400635,0.21944144368171692,0.2772028571813749,0.3386442518602265,0.2617698579652365,0.35568151057140956
0.3,0.44668213487925246,0.4472803473472595,0.21458026766777039,0.2696944116287121,0.3290706242753222,0.261647916140252,0.3146215461457655
0.35,0.39862435183800504,0.39796847105026245,0.20968997478485107,0.2689319161284614,0.32745044412507285,0.2590957957499426,0.28045093106475294
0.39999999999999997,0.35289837885337355,0.35158291459083557,0.20481540262699127,0.27819438985594475,0.33681166802899537,0.2524681977625432,0.25281563000617213
0.44999999999999996,0.30921720263000685,0.30800947546958923,0.20000101625919342,0.03155849783734869,0.08339125776522094,0.15355215176350748,0.0448743013018479
0.49999999999999994,0.2673397679464638,0.26688632369041443,0.19528909027576447,0.030820155197381464,0.0714510631184256,0.13384124749678436,0.036381222920386216
0.5499999999999999,0.22706151707720978,0.22745943069458008,0.19071832299232483,0.02699844020870852,0.05531344579085063,0.11426491722108138,0.04631072763538221
0.6,0.1882072606088794,0.1884349137544632,0.18632249534130096,0.023090517080762277,0.04006133291440067,0.09401649954722457,0.05492441061308643
0.65,0.1506257182958774,0.14815007150173187,0.18212981522083282,0.020287237274150705,0.028956651512191522,0.07330388741782905,0.06165184282069454
0.7,0.11418527814180145,0.10611564666032791,0.1781620979309082,0.017482619451698676,0.02278815603483658,0.05455412733659628,0.06694966046375293
0.75,0.07877065867206857,0.06668343394994736,0.17443493008613586,0.013129645209158217,0.019132533123348484,0.03729808257959826,0.07053488739806171
0.7999999999999999,0.04428025067527695,0.03835754841566086,0.17095784842967987,0.009275530150646218,0.01460150890978812,0.020182457365445515,0.07024265724188788
0.85,0.01124994166756787,0.023168891668319702,0.16773463785648346,0.9766835346890761,0.9749438547261612,29.391635137376813,29.213603119772344
