alpha,ci_reference,ci_pinn,ci_abs_err
0.05,0.7373396102339298,0.7342158,0.003123814240124867
0.06,0.7234887548720724,0.7211254,0.0023633309638387834
0.07,0.7098943759999781,0.70816165,0.0017327239118127835
0.08,0.6965228978948917,0.695326,0.0011969272451725077
0.09,0.6833774401074406,0.68261945,0.0007579876309391498
0.09999999999999999,0.6704450642662939,0.6700431,0.0004019534188207663
0.10999999999999999,0.6577194676380136,0.65759844,0.00012103175925992637
0.12,0.6451692358946723,0.6452859,0.00011666851282887691
0.13,0.6328522055255654,0.6331064,0.00025420497782202567
0.13999999999999999,0.6206868572464682,0.62106085,0.00037399098961576893
0.14999999999999997,0.608697653154457,0.6091498,0.0004521604975815663
0.15999999999999998,0.5968711611780977,0.59737366,0.0005025032010221864
0.16999999999999998,0.5852604890303206,0.58573276,0.00047226901487595896
0.18,0.573737574050434,0.57422745,0.0004898782277031888
0.19,0.5624209113143993,0.5628578,0.0004368953681873622
0.19999999999999996,0.5512567600239201,0.55162376,0.00036700162998004604
0.20999999999999996,0.5401987927988501,0.54052526,0.00032646478858278094
0.21999999999999997,0.5293236693934575,0.52956194,0.00023826746185862113
0.22999999999999998,0.5185355820762613,0.5187332,0.00019762133484102495
0.24,0.5079066445027409,0.50803876,0.00013211472882646014
0.24999999999999994,0.4974042726751259,0.49747747,7.319915333481308e-05
0.25999999999999995,0.48702535308197376,0.48704848,2.31238524592281e-05
0.26999999999999996,0.47677993496620047,0.47675088,2.9054486387847245e-05
0.27999999999999997,0.46662245633725286,0.4665831,3.935339573979402e-05
0.29,0.45658049911631576,0.4565438,3.669590128890787e-05
0.3,0.4466834236245764,0.44663107,5.234967285522307e-05
0.30999999999999994,0.43687513517510707,0.43684313,3.200816285425789e-05
0.31999999999999995,0.42713491643995766,0.42717797,4.304920106407151e-05
0.32999999999999996,0.41753696106719046,0.41763294,9.597636414498956e-05
0.33999999999999997,0.40804194825674606,0.40820566,0.0001637099406568976
0.3499999999999999,0.3986020173908847,0.39889312,0.0002911005137783973
0.35999999999999993,0.3892815038059053,0.38969225,0.00041074310800459646
0.36999999999999994,0.3800696092603615,0.3805996,0.0005299788953849749
0.37999999999999995,0.37092728633781463,0.37161165,0.0006843684206387368
0.38999999999999996,0.3618606132085333,0.36272436,0.000863750595330226
0.3999999999999999,0.35291410395147305,0.3539334,0.0010192900037576669
0.4099999999999999,0.34401621833896645,0.3452343,0.0012180863275527143
0.41999999999999993,0.3352044946722528,0.3366222,0.0014177136846045268
0.42999999999999994,0.3264621938395461,0.3280919,0.0016296957802811596
0.43999999999999995,0.31779839040828045,0.31963795,0.0018395638267964531
0.4499999999999999,0.30923295436726633,0.31125456,0.00202160658015188
0.4599999999999999,0.30069009893859056,0.3029357,0.0022455907491383265
0.4699999999999999,0.2922576520110274,0.29467508,0.002417429957280115
0.4799999999999999,0.28386597318147977,0.28646627,0.0026002975037161535
0.48999999999999994,0.275582164720869,0.2783025,0.0027203259903431642
0.49999999999999994,0.2673341164147232,0.27017704,0.002842920109095759
0.5099999999999999,0.25917454886415153,0.2620831,0.00290856432936043
0.5199999999999999,0.25105447349962584,0.25401396,0.00295948209348329
0.5299999999999999,0.24301183612098798,0.24596307,0.0029512306953419776
0.5399999999999999,0.23498063784374784,0.2379243,0.002943654839853538
0.5499999999999999,0.22707558782842732,0.22989202,0.002816427628725998
0.5599999999999999,0.21918559934451098,0.2218613,0.002675703508119631
0.57,0.21134946801456672,0.2138282,0.002478738047750173
0.58,0.20360102867037466,0.20579007,0.0021890440091449914
0.59,0.19586623769491326,0.19774579,0.0018795474222360886
0.6,0.18820271155587895,0.18969591,0.0014931980634524111
0.61,0.18058759336240346,0.18164346,0.001055862858223372
0.62,0.17303432533005708,0.17359371,0.0005593895032025009
0.63,0.16549907130794866,0.16555476,5.569057864801552e-05
0.6399999999999999,0.15804757426396715,0.15753785,0.0005097265066276724
0.6499999999999999,0.15063456017045396,0.14955725,0.001077312412542275
0.6599999999999999,0.14326041460453542,0.14163066,0.0016297501367238398
0.6699999999999999,0.13590302813466634,0.13377903,0.002123994116149802
0.6799999999999999,0.128637791437583,0.12602639,0.0026113994545507724
0.69,0.12137835079592928,0.118399285,0.0029790660159037946
0.7,0.11418325320299562,0.11092651,0.003256744299492201
0.71,0.10703779761928515,0.10363824,0.0033995584144015795
0.72,0.09988096730506782,0.09656503,0.00331593678987388
0.73,0.09280776600299877,0.089737,0.0030707679217914924
0.74,0.08575720229144801,0.08318249,0.00257471092935313
0.7499999999999999,0.07876988829586368,0.0769272,0.0018426883361087332
0.7599999999999999,0.07179903144436564,0.07099308,0.0008059507091590368
0.7699999999999999,0.06485044486393443,0.065397575,0.0005471306336928272
0.7799999999999999,0.05796144074800838,0.060152963,0.002191522055832257
0.7899999999999999,0.05111849066657871,0.055266008,0.004147517114450036
0.7999999999999999,0.044273658832829355,0.050738115,0.006464456030804755
0.8099999999999999,0.03747584053835308,0.046565324,0.009089483529716377
0.82,0.030730335761012122,0.042738855,0.012008519124089196
0.83,0.024007657041622426,0.03924585,0.015238194296287273
0.84,0.01729842208600003,0.03607011,0.018771686327696258
0.85,0.010634805770227514,0.03319287,0.02255806350558082
