candidate_id,candidate_bucket,candidate_source,candidate_label,candidate_order,alpha,Mach,source_file,source_alpha,source_mach,cr_init,ci_init,cr_final,ci_final,omega_i_final,ci_ref,cr_ref,ci_ref_available,cr_ref_available,ci_abs_err,ci_rel_err,cr_abs_err,stage1_mismatch,stage2_mismatch,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,y_limit,ln_p_start_right,spectral_success,mode_success,raw_success,raw_status,strict_status,accept,reject_reason_primary,reject_reasons_all,solver_failed,mode_reconstructed,peak_shift,exception,box_robustness_enabled,box_robustness_pass,box_robustness_note,box_robustness_n_variants,box_robustness_max_rel_l2,box_robustness_max_peak_shift,box_robustness_max_center8_delta,box_robustness_max_edge_growth,box_robustness_min_half_span_gain,box_robustness_p_rel_l2_x1p50,box_robustness_rho_rel_l2_x1p50,box_robustness_u_rel_l2_x1p50,box_robustness_v_rel_l2_x1p50,box_robustness_max_rel_l2_x1p50,box_robustness_peak_shift_x1p50,box_robustness_center8_delta_x1p50,box_robustness_edge_growth_x1p50,box_robustness_half_span_gain_x1p50,box_robustness_p_rel_l2_x2p00,box_robustness_rho_rel_l2_x2p00,box_robustness_u_rel_l2_x2p00,box_robustness_v_rel_l2_x2p00,box_robustness_max_rel_l2_x2p00,box_robustness_peak_shift_x2p00,box_robustness_center8_delta_x2p00,box_robustness_edge_growth_x2p00,box_robustness_half_span_gain_x2p00,centroid_abs_y,spread_abs_y,peak_y,centroid_abs_y_center8,spread_abs_y_center8,peak_y_center8,center8_mass_fraction,left_mass_fraction,right_mass_fraction,p_left_boundary_amp_fraction,p_right_boundary_amp_fraction,p_edge_amp_fraction_max,rho_left_boundary_amp_fraction,rho_right_boundary_amp_fraction,rho_edge_amp_fraction_max,u_left_boundary_amp_fraction,u_right_boundary_amp_fraction,u_edge_amp_fraction_max,v_left_boundary_amp_fraction,v_right_boundary_amp_fraction,v_edge_amp_fraction_max,left_relative_mach,left_relative_regime,right_relative_mach,right_relative_regime,edge_amp_fraction_max,left_boundary_amp_fraction,right_boundary_amp_fraction,max_field_edge_amp_fraction,box_truncation_suspect_p,box_truncation_suspect_any_field,audit_dir
a0.250000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.360000_ci0.020000,1,0.25,1.8,manual_seed_grid,0.25,1.8,0.36,0.02,0.3946153846142361,0.0244505481538285,0.0061126370384571,,,False,False,,,,0.0593330844281957,1.2729984704929452e-19,0.02,0.01,0.03,0.015,1,833.6662053210888,-17.542213504510336,False,True,False,mode_only,strict_rejected,False,solver_failure,solver_failure;missing_reference;stage1;peak_shift,False,True,2.50099861596334,,True,False,x1p50:rel_l2;x1p50:peak_shift;x2p00:rel_l2;x2p00:peak_shift,2,1.286727025107259,2.50099861596334,0.0698918317695585,0.0018722326129348,1.5000000000000218,1.1595041171560772,1.1595041171560772,0.9746368671143294,1.2840559828600997,1.2840559828600997,2.50099861596334,0.0694793549162769,0.0018722326129348,1.5000000000000218,1.160675238385386,1.1606752383853862,0.9748706139028994,1.286727025107259,1.286727025107259,2.50099861596334,0.0698918317695585,6.016648822821118e-06,1.999999999999916,69.48043731483946,102.66246603565727,-1.5017115596405288,3.901112911387027,4.528709805436099,-1.5017115596405288,0.1218566370597526,0.6990919485521064,0.3008997596336003,4.6528677614590536e-05,1.6622892404637663e-10,4.6528677614590536e-05,4.6528677614590536e-05,1.6622892404637663e-10,4.6528677614590536e-05,3.892921976053873e-06,3.201824052575101e-11,3.892921976053873e-06,4.716722727284463e-05,7.697288702963981e-11,4.716722727284463e-05,2.510693465359136,supersonic_relative,1.0905807133800625,supersonic_relative,4.6528677614590536e-05,4.6528677614590536e-05,1.6622892404637663e-10,4.716722727284463e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0250_manual_single_cr036_ci0020
a0.250000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.360000_ci0.028000,1,0.25,1.8,manual_seed_grid,0.25,1.8,0.36,0.028,0.3946153846151216,0.0244918877107972,0.0061229719276993,,,False,False,,,,0.0593330796693678,1.2755539181450165e-19,0.02,0.01,0.03,0.015,1,832.2591673156896,-17.540388217482075,False,True,False,mode_only,strict_rejected,False,solver_failure,solver_failure;missing_reference;stage1;peak_shift,False,True,2.496777501947008,,True,False,x1p50:rel_l2;x1p50:peak_shift;x2p00:rel_l2;x2p00:peak_shift,2,1.2861034160948694,2.496777501947008,0.0698692628076339,0.0017853627788504,1.5000000000000553,1.1582384708167597,1.1582384708167597,0.972369475379134,1.2834186590046417,1.2834186590046417,2.496777501947008,0.0694526560154782,0.0017853627788504,1.5000000000000553,1.1594179360280268,1.159417936028027,0.9726075393691612,1.2861034160948694,1.2861034160948694,2.496777501947008,0.0698692628076339,5.957888528049374e-06,2.000000000000046,69.3626247107613,102.48804120327712,-1.4986924702671578,3.905318278612449,4.533672988532092,-1.4986924702671578,0.1221762833446708,0.6990639197406314,0.3009278074706429,4.653009085299652e-05,1.6653767480096267e-10,4.653009085299652e-05,4.65300908529965e-05,1.6653767480096262e-10,4.65300908529965e-05,3.892805548787764e-06,3.207570532572504e-11,3.892805548787764e-06,4.716979070421171e-05,7.713015318170184e-11,4.716979070421171e-05,2.510694770847899,supersonic_relative,1.0905837188180496,supersonic_relative,4.653009085299652e-05,4.653009085299652e-05,1.6653767480096267e-10,4.716979070421171e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0250_manual_single_cr036_ci0028
a0.250000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.380000_ci0.020000,1,0.25,1.8,manual_seed_grid,0.25,1.8,0.38,0.02,0.4146153846153181,0.0276890927687825,0.0069222731921956,,,False,False,,,,0.0493899560102797,2.56435079217786e-20,0.02,0.01,0.03,0.015,1,738.1114979862787,-21.98490240880197,True,True,True,validated,strict_rejected,False,missing_reference,missing_reference;peak_shift,False,True,2.2143344939588587,,True,False,x1p50:rel_l2;x1p50:peak_shift;x1p50:center8;x2p00:rel_l2;x2p00:peak_shift;x2p00:center8,2,1.304012202379172,2.2143344939588587,0.1055134378446895,0.0001434303984776,1.4999999999999412,1.1629992081617222,1.1629992081617222,0.9567137718488498,1.303643257719307,1.303643257719307,2.2143344939588587,0.1054365124750092,0.0001434303984776,1.4999999999999412,1.16314830418946,1.16314830418946,0.9567509567904128,1.304012202379172,1.304012202379172,2.2143344939588587,0.1055134378446895,1.1026150755307969e-07,1.9999999999999876,61.464884688510814,91.5583899105084,-1.4381518943663327,3.8780852609760568,4.508894182548973,-1.4381518943663327,0.1422973798028927,0.7331459133837105,0.2668472326539609,4.664119256841452e-05,1.9602896844817518e-12,4.664119256841452e-05,4.6641192568414505e-05,1.9602896844817518e-12,4.6641192568414505e-05,4.009312626130412e-06,4.0683235837431037e-13,4.009312626130412e-06,4.7356034535748514e-05,7.958176524982475e-13,4.7356034535748514e-05,2.54679542289635,supersonic_relative,1.0548703908401609,supersonic_relative,4.664119256841452e-05,4.664119256841452e-05,1.9602896844817518e-12,4.7356034535748514e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0250_manual_single_cr038_ci0020
a0.250000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.380000_ci0.028000,1,0.25,1.8,manual_seed_grid,0.25,1.8,0.38,0.028,0.4146153846151728,0.027689215374686,0.0069223038436715,,,False,False,,,,0.0493899560105621,2.566456217126596e-20,0.02,0.01,0.03,0.015,1,738.1082299499978,-21.984887263202666,True,True,True,validated,strict_rejected,False,missing_reference,missing_reference;peak_shift,False,True,2.2143246898499456,,True,False,x1p50:rel_l2;x1p50:peak_shift;x1p50:center8;x2p00:rel_l2;x2p00:peak_shift;x2p00:center8,2,1.3040121213404885,2.2143246898499456,0.1055133856552326,0.000143456902847,1.4999999999999518,1.1629992169610102,1.16299921696101,0.9567139141234066,1.3036431732913605,1.3036431732913605,2.2143246898499456,0.1054364570110294,0.000143456902847,1.4999999999999518,1.1631483166532994,1.163148316653299,0.9567511019457474,1.3040121213404885,1.3040121213404885,2.2143246898499456,0.1055133856552326,1.1026471679169229e-07,1.9999999999998823,61.46460975384535,91.55797912120516,-1.4381518584811106,3.878084578978144,4.50889352223072,-1.4381518584811106,0.1422979329668262,0.7331457696784229,0.2668473764445222,4.664119658418744e-05,1.9603195432507527e-12,4.664119658418744e-05,4.664119658418743e-05,1.9603195432507527e-12,4.664119658418743e-05,4.009311671000573e-06,4.068384198888627e-13,4.009311671000573e-06,4.7356041949053327e-05,7.958306381630232e-13,4.7356041949053327e-05,2.546795427214977,supersonic_relative,1.054870401267605,supersonic_relative,4.664119658418744e-05,4.664119658418744e-05,1.9603195432507527e-12,4.7356041949053327e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0250_manual_single_cr038_ci0028
a0.250000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.400000_ci0.020000,1,0.25,1.8,manual_seed_grid,0.25,1.8,0.4,0.02,0.4230769230767657,0.0271365449287193,0.0067841362321798,,,False,False,,,,0.0448468067249372,4.001741681175148e-20,0.02,0.01,0.02,0.01,0,753.9524500542964,-25.039441492610155,True,True,True,validated,strict_rejected,False,missing_reference,missing_reference;peak_shift,False,True,2.261857350162927,,True,False,x1p50:rel_l2;x1p50:peak_shift;x1p50:center8;x2p00:rel_l2;x2p00:peak_shift;x2p00:center8,2,1.3190901409419216,2.261857350162927,0.1254552710331618,3.998165977777488e-05,1.5000000000000522,1.1826569424693114,1.1826569424693114,0.981497338067916,1.3190041557451506,1.3190041557451506,2.261857350162927,0.125433163751423,3.998165977777488e-05,1.5000000000000522,1.182691989147151,1.1826919891471512,0.981510614217594,1.3190901409419216,1.3190901409419216,2.261857350162927,0.1254552710331618,6.260964021337563e-09,1.999999999999904,63.013712501815725,94.15232273399732,-1.45610114544611,3.8727703374821454,4.504371848002303,-1.45610114544611,0.1425948011433336,0.7527747453755637,0.2472178220150579,4.662477006256853e-05,9.238422977533452e-14,4.662477006256853e-05,4.662477006256854e-05,9.23842297753345e-14,4.662477006256854e-05,4.106582741746072e-06,2.005262494462185e-14,4.106582741746072e-06,4.731841360961485e-05,3.487431180877708e-14,4.731841360961485e-05,2.562004137437788,supersonic_relative,1.0396096753943085,supersonic_relative,4.662477006256853e-05,4.662477006256853e-05,9.238422977533452e-14,4.731841360961485e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0250_manual_single_cr040_ci0020
a0.250000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.400000_ci0.028000,1,0.25,1.8,manual_seed_grid,0.25,1.8,0.4,0.028,0.4230769230767773,0.0271365720212778,0.0067841430053194,,,False,False,,,,0.0448468067249187,4.011697629602678e-20,0.02,0.01,0.02,0.01,0,753.9516973827065,-25.039436015940463,True,True,True,validated,strict_rejected,False,missing_reference,missing_reference;peak_shift,False,True,2.261855092148153,,True,False,x1p50:rel_l2;x1p50:peak_shift;x1p50:center8;x2p00:rel_l2;x2p00:peak_shift;x2p00:center8,2,1.3190901284306449,2.261855092148153,0.1254552979917611,3.998041938853262e-05,1.4999999999999407,1.182656964222568,1.182656964222568,0.9814973809287886,1.3190041435155824,1.3190041435155824,2.261855092148153,0.1254331913026902,3.998041938853262e-05,1.4999999999999407,1.1826920097015905,1.1826920097015905,0.9815106552902956,1.3190901284306449,1.3190901284306449,2.261855092148153,0.1254552979917611,6.261052576337152e-09,1.9999999999999067,63.01364858921801,94.15222700292333,-1.456101137436975,3.8727701846512033,4.5043717001438175,-1.456101137436975,0.1425949246636277,0.752774703928181,0.247217863480779,4.6624770959593054e-05,9.238473751204208e-14,4.6624770959593054e-05,4.662477095959304e-05,9.238473751204208e-14,4.662477095959304e-05,4.10658242833878e-06,2.0052733199217596e-14,4.10658242833878e-06,4.731841525009024e-05,3.4874514685152235e-14,4.731841525009024e-05,2.5620041383675667,supersonic_relative,1.0396096776855743,supersonic_relative,4.6624770959593054e-05,4.6624770959593054e-05,9.238473751204208e-14,4.731841525009024e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0250_manual_single_cr040_ci0028
a0.260000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.360000_ci0.020000,1,0.26,1.8,manual_seed_grid,0.26,1.8,0.36,0.02,0.3946153846149683,0.023472584059772,0.0061028718555407,,,False,False,,,,0.0643850541778369,1.2147508354532062e-19,0.02,0.01,0.03,0.015,1,834.9978980685914,-17.588008456704635,False,True,False,mode_only,strict_rejected,False,solver_failure,solver_failure;missing_reference;stage1;peak_shift,False,True,2.504993694205723,,True,False,x1p50:rel_l2;x1p50:peak_shift;x2p00:rel_l2;x2p00:peak_shift,2,1.302213798435099,2.504993694205723,0.0700379567722462,0.0016690567307875,1.5000000000000118,1.1914437097938853,1.191443709793885,1.033872848582316,1.2999107092035236,1.2999107092035236,2.504993694205723,0.0696351250458218,0.0016690567307875,1.5000000000000118,1.1924358145010443,1.1924358145010443,1.0340625504111844,1.302213798435099,1.302213798435099,2.504993694205723,0.0700379567722462,5.8082439842438346e-06,1.9999999999999607,69.63321196880123,102.88438310936851,-1.5379952598886508,3.901536790970024,4.529045874682195,-1.5379952598886508,0.1216307171384997,0.7004021174360434,0.2995895843907811,4.654496090299143e-05,1.5884372350447822e-10,4.654496090299143e-05,4.654496090299145e-05,1.5884372350447822e-10,4.654496090299145e-05,3.983943989347505e-06,3.1301776544812354e-11,3.983943989347505e-06,4.716293805031261e-05,7.324410276544824e-11,4.716293805031261e-05,2.5106632246462937,supersonic_relative,1.090511092553091,supersonic_relative,4.654496090299143e-05,4.654496090299143e-05,1.5884372350447822e-10,4.716293805031261e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0260_manual_single_cr036_ci0020
a0.260000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.360000_ci0.028000,1,0.26,1.8,manual_seed_grid,0.26,1.8,0.36,0.028,0.3946153846140806,0.0234724635045722,0.0061028405111887,,,False,False,,,,0.0643850541785313,2.625518374077825e-19,0.02,0.01,0.03,0.015,1,835.0021863678762,-17.588013647467527,False,True,False,mode_only,strict_rejected,False,solver_failure,solver_failure;missing_reference;stage1;peak_shift,False,True,2.5050065591036628,,True,False,x1p50:rel_l2;x1p50:peak_shift;x2p00:rel_l2;x2p00:peak_shift,2,1.3022137075926847,2.5050065591036628,0.0700377947289909,0.0016687712485281,1.499999999999859,1.1914435220796935,1.1914435220796935,1.0338726808855234,1.2999106231824349,1.2999106231824349,2.5050065591036628,0.0696349710594595,0.0016687712485281,1.499999999999859,1.1924356206342446,1.1924356206342444,1.0340623769467838,1.3022137075926847,1.3022137075926847,2.5050065591036628,0.0700377947289909,5.808413926165527e-06,2.000000000000005,69.63357129644989,102.884914982203,-1.537995298996462,3.90153746923368,4.529046531839934,-1.537995298996462,0.1216301483039749,0.7004021993285048,0.2995895024412165,4.6544956507655816e-05,1.5884288398665362e-10,4.6544956507655816e-05,4.6544956507655816e-05,1.5884288398665362e-10,4.6544956507655816e-05,3.983944299436944e-06,3.130161669721673e-11,3.983944299436944e-06,4.716293027673084e-05,7.324367689996783e-11,4.716293027673084e-05,2.510663220992936,supersonic_relative,1.0905110841473076,supersonic_relative,4.6544956507655816e-05,4.6544956507655816e-05,1.5884288398665362e-10,4.716293027673084e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0260_manual_single_cr036_ci0028
a0.260000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.380000_ci0.020000,1,0.26,1.8,manual_seed_grid,0.26,1.8,0.38,0.02,0.4146153846151288,0.0270659943642504,0.0070371585347051,,,False,False,,,,0.0538203276115663,2.765357654048256e-20,0.02,0.01,0.03,0.015,1,726.0601035962469,-22.06435782971322,False,True,False,mode_only,strict_rejected,False,solver_failure,solver_failure;missing_reference;stage1;peak_shift,False,True,2.1781803107886617,,True,False,x1p50:rel_l2;x1p50:peak_shift;x1p50:center8;x2p00:rel_l2;x2p00:peak_shift;x2p00:center8,2,1.3146871262126545,2.1781803107886617,0.1134046875655017,0.0001332941897642,1.4999999999999731,1.1881232309992231,1.1881232309992231,1.0066265640970529,1.314365964610782,1.314365964610782,2.1781803107886617,0.1133265839116672,0.0001332941897642,1.4999999999999731,1.1882476030784188,1.188247603078419,1.00665022733289,1.3146871262126545,1.3146871262126545,2.1781803107886617,0.1134046875655017,1.0282947276466413e-07,2.000000000000082,60.49798936287939,90.1128321221004,-1.464712509361197,3.875496204622359,4.506331825269776,-1.464712509361197,0.1443729790509336,0.7343710755336782,0.2656224027076939,4.667658039437595e-05,1.8119348942561072e-12,4.667658039437595e-05,4.667658039437594e-05,1.8119348942561072e-12,4.667658039437594e-05,4.095516985695949e-06,3.8385315897402236e-13,4.095516985695949e-06,4.738159851546787e-05,7.316481340023118e-13,4.738159851546787e-05,2.5467737206881926,supersonic_relative,1.0548179936727995,supersonic_relative,4.667658039437595e-05,4.667658039437595e-05,1.8119348942561072e-12,4.738159851546787e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0260_manual_single_cr038_ci0020
a0.260000_M1.800000__cand001,manual_grid,manual_grid,manual_cr0.380000_ci0.028000,1,0.26,1.8,manual_seed_grid,0.26,1.8,0.38,0.028,0.414615384615221,0.0270659953629148,0.0070371587943578,,,False,False,,,,0.0538203276114774,2.76902178799744e-20,0.02,0.01,0.03,0.015,1,726.0600768086508,-22.064357706690814,False,True,False,mode_only,strict_rejected,False,solver_failure,solver_failure;missing_reference;stage1;peak_shift,False,True,2.178180230426051,,True,False,x1p50:rel_l2;x1p50:peak_shift;x1p50:center8;x2p00:rel_l2;x2p00:peak_shift;x2p00:center8,2,1.3146871241003195,2.178180230426051,0.1134046865203525,0.0001332941390976,1.499999999999939,1.1881232303232752,1.1881232303232752,1.0066265649951938,1.314365963570676,1.314365963570676,2.178180230426051,0.1133265832241232,0.0001332941390976,1.499999999999939,1.1882475997710478,1.1882475997710478,1.006650224448714,1.3146871241003195,1.3146871241003195,2.178180230426051,0.1134046865203525,1.0282948510878318e-07,2.000000000000059,60.49798710791567,90.11282875372063,-1.4647125090522102,3.875496198835337,4.506331819666534,-1.4647125090522102,0.1443729837246118,0.7343710743580179,0.2656224038841066,4.6676580429265535e-05,1.811935118519089e-12,4.6676580429265535e-05,4.667658042926552e-05,1.811935118519088e-12,4.667658042926552e-05,4.095516978261956e-06,3.838532054748668e-13,4.095516978261956e-06,4.738159857834454e-05,7.316482310207565e-13,4.738159857834454e-05,2.546773720722746,supersonic_relative,1.0548179937556594,supersonic_relative,4.6676580429265535e-05,4.6676580429265535e-05,1.811935118519089e-12,4.738159857834454e-05,False,False,assets/classic_supersonic/multicandidate_audits/supersonic_multicandidate_M180_a0260_manual_single_cr038_ci0028
