epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_first_order_v_energy,loss_first_order_amp_cap,loss_riccati_anchor,loss_q_supervision,loss_riccati_center_kappa,loss_riccati_center_peak,loss_riccati_boundary_band_kappa,loss_riccati_boundary_band_q,loss_riccati_shooting_match,loss_ci_stability_outside,loss_ci_neutrality,loss_ci_low_alpha_zero,loss_ci_smoothness,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,ci_supervision_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_env_rel_weighted_mean,audit_phase_rel_weighted_mean,audit_peak_shift_weighted_mean,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,6.369210243225098,0.011116424575448036,0.1375623196363449,0.0,0.0,0.7598800659179688,0.7609055638313293,0.13642250001430511,0.009721841663122177,0.0002790178987197578,0.14022228121757507,19.830522537231445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12666912376880646,2.0,0.0,0.0,0,3.0000009536743164,0.2208806574344635,0.33037610258945627,0.33037610258945627,0.5993143677403195,0.5993143677403195,5.629692380624538,5.629692380624538,5.563398414757687,5.563398414757687,0.19766471579289457,0.19766471579289457,74.24251556396484,74.24251556396484,5.563398414757687,0.19766471579289457,74.24251556396484,25.874740176592628,1,0.2,0.2
2,5.383659839630127,0.016820959746837616,0.10617710649967194,0.0,0.0,0.32959410548210144,0.8715355396270752,0.026559509336948395,0.001608919003047049,0.008237231522798538,8.579951827414334e-05,16.40767478942871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10914839804172516,2.0,0.0,0.0,0,3.0000009536743164,0.24937155842781067,,,,,,,,,,,,,,,,5.383659839630127,0,,
3,5.651276588439941,0.004437757655978203,0.3176032304763794,0.0,0.0,0.1469458043575287,0.45353808999061584,0.06349151581525803,0.004250694531947374,0.0,0.0020190777722746134,2.921668529510498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0911346822977066,2.0,0.0,0.0,0,3.0000009536743164,0.2811128795146942,,,,,,,,,,,,,,,,5.651276588439941,0,,
4,5.222789764404297,0.005730258300900459,0.29810795187950134,0.0,0.0,0.10039429366588593,0.47902029752731323,0.005838068202137947,0.008893807418644428,0.0,0.00679452158510685,15.889955520629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07297772169113159,2.0,0.0,0.0,0,3.0000009536743164,0.31638455390930176,,,,,,,,,,,,,,,,5.222789764404297,0,,
5,4.871654510498047,0.005693444982171059,0.1944277435541153,0.0,0.0,0.15423902869224548,0.6398155093193054,0.005183245521038771,0.006087244488298893,0.0,0.0985485315322876,14.623796463012695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05516495928168297,2.0,0.0,0.0,0,3.0000009536743164,0.3554300367832184,,,,,,,,,,,,,,,,4.871654510498047,0,,
6,4.718400478363037,0.0018683872185647488,0.10127167403697968,0.0,0.0,0.25017935037612915,0.7945317625999451,0.01843070425093174,0.0006837024702690542,0.0,0.03010793775320053,4.850171089172363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038348112255334854,2.0,0.0,0.0,0,3.0000009536743164,0.39839550852775574,,,,,,,,,,,,,,,,4.718400478363037,0,,
7,4.675716876983643,0.0004234717052895576,0.043109796941280365,0.0,0.0,0.3420511782169342,0.9047437906265259,0.01635265350341797,9.778023377293721e-05,0.0,0.06584010273218155,13.376757621765137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023366566747426987,2.0,0.0,0.0,0,3.0000009536743164,0.44520556926727295,,,,,,,,,,,,,,,,4.675716876983643,0,,
8,4.724260330200195,0.0016851054970175028,0.015678439289331436,0.0,0.0,0.4173874855041504,0.9720727205276489,0.007231289520859718,0.00021500722505152225,3.0581052214984084e-06,0.02363678067922592,1.9742149114608765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011246851645410061,2.0,0.0,0.0,0,3.0000009536743164,0.49530839920043945,,,,,,,,,,,,,,,,4.724260330200195,0,,
9,4.756783962249756,0.00155990372877568,0.004460438154637814,0.0,0.0,0.474351704120636,0.9975026845932007,0.0007051959983073175,1.5200726920738816e-05,3.485062188701704e-05,1.0554704666137695,10.838968276977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031302243005484343,2.0,0.0,0.0,0,3.0000009536743164,0.5471780896186829,,,,,,,,,,,,,,,,4.756783962249756,0,,
10,4.779463291168213,0.000490706239361316,0.002063367748633027,0.0,0.0,0.5067934989929199,0.9991012215614319,0.00042754580499604344,4.96387599469017e-07,1.4974726582295261e-05,2.4773685932159424,59.23699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6635682186461054e-05,2.0,0.0,0.0,0,3.0000009536743164,0.5975015759468079,,,,,,,,,,,,,,,,4.779463291168213,0,,
