alpha,ci_reference,ci_a,ci_b,err_a,err_b
0.25999999999999995,0.48702535308197376,0.4863226,0.48924005,0.0007027415116154789,0.0022146972338831783
0.26999999999999996,0.47677993496620047,0.4758321,0.47875038,0.000947830283278106,0.0019704429272474067
0.27999999999999997,0.46662245633725286,0.46547404,0.46837315,0.0011484170210754874,0.0017506932961547372
0.29,0.45658049911631576,0.45524734,0.45810914,0.0013331565297984294,0.0015286412798024007
0.3,0.4466834236245764,0.44515088,0.44795936,0.0015325416188848862,0.001275939835964357
0.30999999999999994,0.43687513517510707,0.43518344,0.43792415,0.0016916994966250098,0.0010490114771146142
0.31999999999999995,0.42713491643995766,0.42534348,0.428004,0.0017914327535105135,0.0008690801706838225
0.32999999999999996,0.41753696106719046,0.4156295,0.41819924,0.0019074549560454401,0.0006622800941559759
0.33999999999999997,0.40804194825674606,0.4060398,0.4085098,0.0020021440365464716,0.00046784264062332825
0.3499999999999999,0.3986020173908847,0.3965724,0.39893547,0.0020296063305514367,0.00033344961389131234
0.35999999999999993,0.3892815038059053,0.38722557,0.38947588,0.002055935511380169,0.0001943782474699285
0.36999999999999994,0.3800696092603615,0.37799695,0.38013032,0.0020726579187324567,6.07115270683245e-05
0.37999999999999995,0.37092728633781463,0.36888427,0.3708979,0.0020430209149935874,2.9397200546565916e-05
0.38999999999999996,0.3618606132085333,0.35988528,0.36177728,0.0019753378446111802,8.333740782834331e-05
0.3999999999999999,0.35291410395147305,0.35099724,0.3527671,0.001916864600200463,0.00014699408056240149
0.4099999999999999,0.34401621833896645,0.34221756,0.34386557,0.0017986537561417437,0.00015064493274696833
0.41999999999999993,0.3352044946722528,0.3335434,0.3350705,0.0016611046366235005,0.000134003835155605
0.42999999999999994,0.3264621938395461,0.3249716,0.32637924,0.0014906073737105396,8.295428037252695e-05
0.43999999999999995,0.31779839040828045,0.31649905,0.31778896,0.001299335976365168,9.43185878093944e-06
0.4499999999999999,0.30923295436726633,0.30812243,0.30929634,0.0011105280958277342,6.338538302358421e-05
0.4599999999999999,0.30069009893859056,0.29983816,0.3008975,0.0008519434305491735,0.00020740992104384404
0.4699999999999999,0.2922576520110274,0.2916425,0.2925883,0.0006151649619245969,0.00033064154137130153
0.4799999999999999,0.28386597318147977,0.28353152,0.2843639,0.00033445639108975467,0.0004979224731985754
0.48999999999999994,0.275582164720869,0.275501,0.2762189,8.115191874497052e-05,0.0006367264229298342
0.49999999999999994,0.2673341164147232,0.26754665,0.2681475,0.000212537332835383,0.0008133819544937082
0.5099999999999999,0.25917454886415153,0.25966382,0.26014322,0.0004892714025721001,0.0009686715605005669
0.5199999999999999,0.25105447349962584,0.25184748,0.25219887,0.0007930022675097792,0.0011444014507830946
0.5299999999999999,0.24301183612098798,0.24409232,0.2443068,0.0010804793144215674,0.0012949666286458106
0.5399999999999999,0.23498063784374784,0.23639268,0.23645855,0.0014120389865439065,0.001477917020181907
0.5499999999999999,0.22707558782842732,0.22874258,0.22864532,0.0016669967577161715,0.0015697368786039279
0.5599999999999999,0.21918559934451098,0.22113548,0.2208574,0.0019498828475285057,0.0016717973773289208
0.57,0.21134946801456672,0.21356429,0.2130848,0.002214823581845937,0.0017353340169503073
0.58,0.20360102867037466,0.20602144,0.20531711,0.002420414339001864,0.0017160811528522668
0.59,0.19586623769491326,0.19849865,0.19754367,0.0026324136903940476,0.001677428071802739
0.6,0.18820271155587895,0.19098696,0.18975392,0.002784249570448566,0.00155120828398006
0.61,0.18058759336240346,0.18347685,0.1819377,0.002889257028030806,0.0013501011871570878
0.62,0.17303432533005708,0.17595795,0.17408545,0.002923622639379564,0.0010511278225994736
0.63,0.16549907130794866,0.16841923,0.16618922,0.0029201556961025443,0.000690152219959661
0.6399999999999999,0.15804757426396715,0.16084908,0.15824294,0.002801505225740797,0.00019536663874281102
0.6499999999999999,0.15063456017045396,0.15323585,0.15024358,0.0026012925478993143,0.00039097982911484586
0.6599999999999999,0.14326041460453542,0.14556777,0.1421917,0.0023073601681086187,0.0010687214177754756
0.6699999999999999,0.13590302813466634,0.13783424,0.13409315,0.001931207891143899,0.0018098776381834936
0.6799999999999999,0.128637791437583,0.13002641,0.12595974,0.001388623552842111,0.002678052348570853
0.69,0.12137835079592928,0.12213893,0.11781042,0.0007605815513683917,0.0035679301039622663
0.7,0.11418325320299562,0.11417182,0.10967255,1.1435304245313582e-05,0.004510706816276869
0.71,0.10703779761928515,0.10613317,0.10158213,0.0009046271933932787,0.005455665339412261
0.72,0.09988096730506782,0.09804194,0.0935841,0.0018390305498874604,0.006296869383219522
0.73,0.09280776600299877,0.08993164,0.0857318,0.0028761289542774543,0.007075969082699238
0.74,0.08575720229144801,0.08185273,0.07808484,0.003904475653130901,0.007672360920865429
0.7499999999999999,0.07876988829586368,0.07387482,0.07070705,0.004895071997378875,0.008062835349772979
0.7599999999999999,0.07179903144436564,0.06608591,0.06366251,0.005713119157130381,0.008136524804408213
0.7699999999999999,0.06485044486393443,0.058588713,0.05701153,0.006261731456417952,0.007838915060658369
0.7799999999999999,0.05796144074800838,0.05149284,0.05080636,0.0064686006963573794,0.007155082291396747
0.7899999999999999,0.05111849066657871,0.04490337,0.045087274,0.006215119183491172,0.006031216502617301
0.7999999999999999,0.044273658832829355,0.03890835,0.039879836,0.00536530762008941,0.004393822690766214
0.8099999999999999,0.03747584053835308,0.03356708,0.035193477,0.003908762126773949,0.002282363712400551
0.82,0.030730335761012122,0.028903618,0.031021876,0.0018267173060789559,0.00029154049962611464
0.83,0.024007657041622426,0.024906173,0.02734483,0.0008985163068043929,0.003337173292564128
0.84,0.01729842208600003,0.021532634,0.024131056,0.004234212187171394,0.006832633835316116
0.85,0.010634805770227514,0.018719917,0.021341635,0.008085111393025316,0.01070682914405147
