alpha,ci_reference,ci_a,ci_b,err_a,err_b
0.05,0.7373396102339298,0.73760194,0.73258466,0.00026232562956507444,0.004754954949048207
0.06,0.7234887548720724,0.7243296,0.7201485,0.0008408359253518904,0.0033402510917074357
0.07,0.7098943759999781,0.71118104,0.70778155,0.0012866685785741794,0.0021128227315454495
0.08,0.6965228978948917,0.69815767,0.6954861,0.0016347702188167501,0.001036769564661033
0.09,0.6833774401074406,0.68526113,0.68326527,0.0018836902255061627,0.00011217130479779236
0.09999999999999999,0.6704450642662939,0.6724928,0.6711218,0.002047737876803013,0.0006767118376794778
0.10999999999999999,0.6577194676380136,0.65985394,0.6590577,0.0021344676036856303,0.001338209154131187
0.12,0.6451692358946723,0.6473458,0.6470761,0.0021765454316216015,0.001906834414012959
0.13,0.6328522055255654,0.63496935,0.6351791,0.0021171481502768597,0.0023268968952414593
0.13999999999999999,0.6206868572464682,0.62272567,0.6233693,0.0020388083228372045,0.0026824192771218724
0.14999999999999997,0.608697653154457,0.61061543,0.6116491,0.0019177791079636464,0.0029514428576584706
0.15999999999999998,0.5968711611780977,0.5986394,0.60002077,0.0017682674374723817,0.0031496050801420594
0.16999999999999998,0.5852604890303206,0.5867982,0.58848643,0.0015377020402360664,0.0032259439988542304
0.18,0.573737574050434,0.5750922,0.5770485,0.001354622414104556,0.0033109064602776517
0.19,0.5624209113143993,0.5635217,0.56570876,0.001100771901695663,0.003287845132439071
0.19999999999999996,0.5512567600239201,0.552087,0.5544695,0.000830248929174382,0.003212765790136296
0.20999999999999996,0.5401987927988501,0.540788,0.5433324,0.0005892020627527028,0.003133605138924578
0.21999999999999997,0.5293236693934575,0.52962476,0.5322994,0.00030109075745188285,0.0029757299824579864
0.22999999999999998,0.5185355820762613,0.51859695,0.52137214,6.136511688448198e-05,0.0028365573776266695
0.24,0.5079066445027409,0.50770444,0.51055217,0.00020220772371870588,0.002645523389715132
0.24999999999999994,0.4974042726751259,0.49694648,0.4998411,0.0004577888246467543,0.0024368213419029283
