quantity,alpha_target,Mach,target_level,n_anchor_levels,lower_level,upper_level,lower_alpha_on_curve,upper_alpha_on_curve,alpha_gap_lower,alpha_gap_upper,bracket_alpha_span,bracket_level_span,local_dlevel_dalpha,local_dalpha_dlevel,alpha_position_in_bracket,support_levels,n_support_levels,n_local_support_points,nearest_raw_distance,support_level_1,support_level_1_global_points,support_level_1_local_points,support_level_2,support_level_2_global_points,support_level_2_local_points,support_level_3,support_level_3_global_points,support_level_3_local_points,support_level_4,support_level_4_global_points,support_level_4_local_points,support_level_5,support_level_5_global_points,support_level_5_local_points
cr,0.2,1.2,0.23697519236816028,4,0.2,0.25,0.14190744791067122,0.22046356671446804,0.058092552089328786,0.02046356671446803,0.07855611880379681,0.04999999999999999,0.6364876569943698,1.5711223760759367,0.7395038473632054,"0.100,0.150,0.200,0.250",4,12,0.02350808014900001,0.1,21,0,0.15,19,1,0.2,25,5,0.25,24,6,,,
cr,0.2,1.25,0.2338874746306954,5,0.2,0.25,0.10552250931985017,0.24492134577751262,0.09447749068014984,0.04492134577751261,0.13939883645766243,0.04999999999999999,0.35868305124042954,2.7879767291532493,0.6777494926139078,"0.100,0.150,0.200,0.250,0.300",5,11,0.027018076190129033,0.1,21,0,0.15,19,0,0.2,25,2,0.25,24,6,0.3,19.0,3.0
cr,0.2,1.275,0.23117469441517483,5,0.2,0.25,0.09084490750989557,0.26591493552109446,0.10915509249010444,0.06591493552109445,0.1750700280111989,0.04999999999999999,0.28560000000000907,3.5014005602239786,0.6234938883034965,"0.100,0.150,0.200,0.250,0.300",5,10,0.03507826658147675,0.1,21,0,0.15,19,0,0.2,25,1,0.25,24,5,0.3,19.0,4.0
cr,0.2,1.3,0.2727688216788323,5,0.25,0.3,0.12828797914414353,0.28576653000504637,0.07171202085585648,0.08576653000504636,0.15747855086090284,0.04999999999999999,0.3175035566854043,3.1495710172180575,0.4553764335766466,"0.100,0.150,0.200,0.250,0.300",5,9,0.015826186330209862,0.1,21,0,0.15,19,0,0.2,25,0,0.25,24,4,0.3,19.0,5.0
