epoch,loss,loss_pde,loss_bc,loss_bc_kappa,loss_bc_q,loss_norm,loss_integral_norm,loss_phase,loss_peak_slope,loss_peak_curvature,loss_loc_center,loss_loc_spread,loss_ci_supervision,stage_w_ci_supervision,stage_neutral_fraction,stage2_started,mapping_scale,ci_mid,audit_ci_mae,audit_ci_max_abs,audit_ci_mean_rel,audit_ci_max_rel,audit_p_rel_l2_mean,audit_p_rel_l2_max,audit_env_rel_mean,audit_env_rel_max,audit_phase_rel_mean,audit_phase_rel_max,audit_peak_shift_mean,audit_peak_shift_max,audit_checkpoint_metric,n_focus_alphas,focus_alpha_min,focus_alpha_max
1,13.714616775512695,0.3324700891971588,13.134016036987305,1.137709140777588,0.08784621953964233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04962615668773651,5.0,0.2,0,3.0000009536743164,0.2035457342863083,0.17346033763423635,0.46770047582688534,1.2165714807494055,13.313858777995161,0.9187444425762638,1.5769090257301581,0.7250241333567969,1.2027906225687859,0.24192186607838811,0.5678162444056238,2.2537906510489307,14.66289682388306,3.144036105500587,8.0,0.05,0.85
2,3.2806591987609863,0.19586071372032166,2.6932458877563477,0.15723752975463867,0.056043531745672226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783105194568634,5.0,0.2,0,3.0000009536743164,0.20707005262374878,,,,,,,,,,,,,,,,
3,3.682546854019165,0.08414110541343689,3.22884464263916,0.24331891536712646,0.03978278115391731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07391224056482315,5.0,0.2,0,3.0000009536743164,0.2107795774936676,,,,,,,,,,,,,,,,
4,5.246054649353027,0.22454515099525452,4.715151786804199,0.4671362638473511,0.0021894550882279873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0612715408205986,5.0,0.2,0,3.0000009536743164,0.21468758583068848,,,,,,,,,,,,,,,,
5,4.649272918701172,0.22948038578033447,4.1584906578063965,0.39138171076774597,0.01223367266356945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052260350435972214,5.0,0.2,0,3.0000009536743164,0.21881088614463806,,,,,,,,,,,,,,,,
6,3.1024112701416016,0.1881764680147171,2.7068746089935303,0.25347328186035156,0.008607085794210434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041472043842077255,5.0,0.2,0,3.0000009536743164,0.22316205501556396,,,,,,,,,,,,,,,,
7,2.03049898147583,0.1287604421377182,1.7266770601272583,0.1658824384212494,0.0033926297910511494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03501228988170624,5.0,0.2,0,3.0000009536743164,0.22777427732944489,,,,,,,,,,,,,,,,
8,1.9459679126739502,0.11160775274038315,1.7295104265213013,0.16220413148403168,0.005373451393097639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020969927310943604,5.0,0.2,0,3.0000009536743164,0.23260317742824554,,,,,,,,,,,,,,,,
9,2.1713552474975586,0.13463911414146423,1.9529306888580322,0.1772802323102951,0.00900641642510891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016757089644670486,5.0,0.2,0,3.0000009536743164,0.23771293461322784,,,,,,,,,,,,,,,,
10,1.96096932888031,0.1278192400932312,1.785577654838562,0.16256622970104218,0.00799576472491026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009514489211142063,5.0,0.2,0,3.0000009536743164,0.2430550456047058,,,,,,,,,,,,,,,,
