alpha,mach,ci_reference,ci_pinn,ci_abs_err
0.6,0.8,0.0010442295105619946,0.035009854,0.03396562403128905
0.5908333333333333,0.8,0.007329365464209954,0.037974074,0.030644709018707833
0.5816666666666667,0.8,0.013998450928143075,0.041187547,0.027189096219130942
0.5724999999999999,0.8,0.021051485902361455,0.04466172,0.023610233449645458
0.5633333333333332,0.8,0.028174686962020135,0.0484067,0.02023201457296636
0.6,0.7714285714285715,0.026361114118087024,0.045927987,0.019566872384560376
0.5541666666666666,0.8,0.035336449054197354,0.05243128,0.017094832601829486
0.5908333333333333,0.7714285714285715,0.03301021545031633,0.04968845,0.016678235541791063
0.42583333333333323,0.28571428571428575,0.40597833832080077,0.39168426,0.014294074376174914
0.43499999999999994,0.28571428571428575,0.39745039815889327,0.38317892,0.014271478605136556
0.4166666666666666,0.28571428571428575,0.4145773484719256,0.4003243,0.014253033639238244
0.4166666666666666,0.31428571428571433,0.4065900702009613,0.39234462,0.014245446396868866
0.4074999999999999,0.31428571428571433,0.41518881858060647,0.40096083,0.014227985746362692
0.4441666666666666,0.28571428571428575,0.38903042584106756,0.3748066,0.014223813111041317
0.5449999999999999,0.8,0.042536772178893116,0.056742527,0.014205754411931011
0.42583333333333323,0.31428571428571433,0.3980623742540702,0.38386434,0.014198031087718888
0.39833333333333326,0.31428571428571433,0.4238749362722488,0.4097146,0.014160326887712071
0.4074999999999999,0.28571428571428575,0.4232474286122679,0.4091002,0.014147223906075868
0.45333333333333325,0.28571428571428575,0.38065861141872026,0.36656567,0.014092936875339523
0.43499999999999994,0.31428571428571433,0.3896057307399332,0.37551835,0.014087378946644025
0.4441666666666666,0.2571428571428572,0.39619899064087616,0.38214034,0.014058652220008239
0.43499999999999994,0.2571428571428572,0.40467888172051636,0.39065447,0.014024407223674928
0.3891666666666666,0.31428571428571433,0.43262613404781936,0.4186072,0.014018928895307758
0.45333333333333325,0.2571428571428572,0.3877619315554649,0.37375745,0.014004479782775081
0.39833333333333326,0.28571428571428575,0.43201461003835906,0.418013,0.014001603589613332
