alpha,ci_classic_gep,ci_run_a,ci_run_b,amp_rel_run_a,amp_rel_run_b,phase_rmse_run_a,phase_rmse_run_b
0.05,0.7373277142191914,0.7337384819984436,0.7389875650405884,0.1820016708827514,0.18253755036175337,0.18445493069258045,0.20523588536474643
0.1,0.6704524577922079,0.6718112826347351,0.6746265292167664,0.27593113667611385,0.2983662145438902,0.24273840685277911,0.14567465564353388
0.15,0.6087106028348551,0.6119585633277893,0.6130910515785217,0.2921534677338936,0.3228356292883039,0.2544716362241841,0.20139705980196881
0.2,0.5512525140722014,0.5544378161430359,0.5546703934669495,0.28710118706369053,0.31954196429265036,0.25512809927846547,0.21438702674403548
0.25,0.497417481831794,0.49948084354400635,0.49957454204559326,0.2772028571813749,0.3078674360057365,0.2570163858885319,0.2125040455124736
0.3,0.44668213487925246,0.4472803473472595,0.4478972554206848,0.2696944116287121,0.2967018221539387,0.25575554590151983,0.20175952829017826
0.35,0.39862435183800504,0.39796847105026245,0.3995751738548279,0.2689319161284614,0.2917497060563302,0.25246846278657337,0.19125152438837933
0.39999999999999997,0.35289837885337355,0.35158291459083557,0.3543480634689331,0.27819438985594475,0.29763362067907,0.2468154480377583,0.18547533127357713
0.44999999999999996,0.30921720263000685,0.30800947546958923,0.3117283582687378,0.03155849783734869,0.05513286728080861,0.1510666851805475,0.11212300250034277
0.49999999999999994,0.2673397679464638,0.26688632369041443,0.27098697423934937,0.030820155197381464,0.052487311734360366,0.13265108576428866,0.08940921288209547
0.5499999999999999,0.22706151707720978,0.22745943069458008,0.2311623990535736,0.02699844020870852,0.04359148542522872,0.11357576076069974,0.07601353531940987
0.6,0.1882072606088794,0.1884349137544632,0.1911264806985855,0.023090517080762277,0.03178855741960657,0.09371177452997806,0.06160328271389387
0.65,0.1506257182958774,0.14815007150173187,0.14990046620368958,0.020287237274150705,0.02012530545129758,0.07279470800161544,0.0495561661445843
0.7,0.11418527814180145,0.10611564666032791,0.10780157148838043,0.017482619451698676,0.011138724783205182,0.05438338899144364,0.03882318459778569
0.75,0.07877065867206857,0.06668343394994736,0.06871944665908813,0.013129645209158217,0.006762354681932422,0.03727455641482084,0.02963530389332158
0.7999999999999999,0.04428025067527695,0.03835754841566086,0.03965289518237114,0.009275530150646218,0.008239391960536184,0.020182457365445515,0.01881655286366116
0.85,0.01124994166756787,0.023168891668319702,0.02310851402580738,0.9766835346890761,0.9761297630879905,29.391635137376813,29.38620006968713
